,state,fips,cases,deaths,employed-sugar-intake-daily
0,California,6,1,0,22.9
1,California,6,2,0,22.9
2,California,6,2,0,22.9
3,California,6,2,0,22.9
4,California,6,2,0,22.9
5,California,6,2,0,22.9
6,California,6,3,0,22.9
7,California,6,3,0,22.9
8,California,6,6,0,22.9
9,California,6,6,0,22.9
10,California,6,6,0,22.9
11,California,6,6,0,22.9
12,California,6,6,0,22.9
13,California,6,6,0,22.9
14,California,6,6,0,22.9
15,California,6,6,0,22.9
16,California,6,7,0,22.9
17,California,6,7,0,22.9
18,California,6,7,0,22.9
19,California,6,7,0,22.9
20,California,6,7,0,22.9
21,California,6,7,0,22.9
22,California,6,7,0,22.9
23,California,6,7,0,22.9
24,California,6,7,0,22.9
25,California,6,7,0,22.9
26,California,6,8,0,22.9
27,California,6,9,0,22.9
28,California,6,9,0,22.9
29,California,6,9,0,22.9
30,California,6,11,0,22.9
31,California,6,11,0,22.9
32,California,6,26,0,22.9
33,California,6,26,0,22.9
34,California,6,27,0,22.9
35,California,6,28,0,22.9
36,California,6,33,0,22.9
37,California,6,38,0,22.9
38,California,6,45,0,22.9
39,California,6,55,1,22.9
40,California,6,67,1,22.9
41,California,6,81,1,22.9
42,California,6,100,1,22.9
43,California,6,112,1,22.9
44,California,6,172,2,22.9
45,California,6,179,3,22.9
46,California,6,202,4,22.9
47,California,6,252,4,22.9
48,California,6,320,5,22.9
49,California,6,381,5,22.9
50,California,6,478,6,22.9
51,California,6,588,11,22.9
52,California,6,732,14,22.9
53,California,6,893,17,22.9
54,California,6,1067,19,22.9
55,California,6,1283,24,22.9
56,California,6,1544,28,22.9
57,California,6,1851,35,22.9
58,California,6,2240,39,22.9
59,California,6,2644,52,22.9
60,California,6,3183,68,22.9
61,California,6,4060,83,22.9
62,California,6,4915,104,22.9
63,California,6,5566,122,22.9
64,California,6,6321,132,22.9
65,California,6,7421,147,22.9
66,California,6,8583,184,22.9
67,California,6,9857,212,22.9
68,California,6,11190,247,22.9
69,California,6,12569,282,22.9
70,California,6,13796,323,22.9
71,California,6,15202,351,22.9
72,California,6,16361,386,22.9
73,California,6,17540,447,22.9
74,California,6,19043,506,22.9
75,California,6,20191,548,22.9
76,California,6,21366,594,22.9
77,California,6,22421,632,22.9
78,California,6,23323,676,22.9
79,California,6,24334,725,22.9
80,California,6,25758,778,22.9
81,California,6,27107,885,22.9
82,California,6,28142,971,22.9
83,California,6,29398,1050,22.9
84,California,6,30829,1146,22.9
85,California,6,31544,1176,22.9
86,California,6,33862,1223,22.9
87,California,6,35844,1316,22.9
88,California,6,37573,1425,22.9
89,California,6,39534,1548,22.9
90,California,6,41368,1619,22.9
91,California,6,42590,1692,22.9
92,California,6,43691,1716,22.9
93,California,6,45208,1800,22.9
94,California,6,46570,1884,22.9
95,California,6,48904,1961,22.9
96,California,6,50470,2057,22.9
